Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
2.00	0.150	LB	16    	0.0001808748533174772
2.00	0.150	LB	17    	0.0001115874717890994
2.00	0.150	LB	18    	6.888697276708211e-05
2.00	0.150	LB	19    	4.254960802793172e-05
2.00	0.150	LB	20    	2.62936952436965e-05
2.00	0.150	LB	21    	1.625448593495822e-05
2.00	0.150	LB	22    	1.005157645007713e-05
2.00	0.150	LB	23    	6.217457614152419e-06
2.00	0.150	LB	24    	3.846726281485588e-06
2.00	0.150	LB	25    	2.380425677279949e-06
2.00	0.150	LB	26    	1.473297305444557e-06
2.00	0.150	LB	27    	9.119858914838186e-07
2.00	0.150	LB	28    	5.645975252127616e-07
2.00	0.150	LB	29    	3.495710576715908e-07
2.00	0.150	LB	30    	2.164568152058492e-07
2.00	0.150	LB	31    	1.340420150259516e-07
2.00	0.150	LB	32    	8.301181311540294e-08
2.00	0.150	LB	33    	5.141196046078879e-08
2.00	0.150	LB	34    	3.18427340829873e-08
2.00	0.150	LB	35    	1.972311636484627e-08
2.00	0.150	LB	36    	1.221679285175447e-08
2.00	0.150	LB	37    	7.567513338159689e-09
2.00	0.150	LB	38    	4.687719409358859e-09
2.00	0.150	LB	39    	2.903894357277749e-09
2.00	0.150	LB	40    	1.798909771368816e-09
2.00	0.150	UB	1     	0.4978884100979931
2.00	0.150	UB	2     	0.2666879891738288
2.00	0.150	UB	3     	0.1609030513300101
2.00	0.150	UB	4     	0.09877657615940535
2.00	0.150	UB	5     	0.06095001605305727
2.00	0.150	UB	6     	0.03808238729091919
2.00	0.150	UB	7     	0.02400153180345254
2.00	0.150	UB	8     	0.01519940287709177
2.00	0.150	UB	9     	0.009659981258204043
2.00	0.150	UB	10    	0.006157450398613593
2.00	0.150	UB	11    	0.003933773533958783
2.00	0.150	UB	12    	0.002517585621793767
2.00	0.150	UB	13    	0.001613515963308876
2.00	0.150	UB	14    	0.001035282021465643
2.00	0.150	UB	15    	0.0006648856732208703
2.00	0.150	UB	16    	0.0004273311932566647
2.00	0.150	UB	17    	0.0002748230766071828
2.00	0.150	UB	18    	0.0001768340725122574
2.00	0.150	UB	19    	0.0001138321582403156
2.00	0.150	UB	20    	7.330261022684561e-05
2.00	0.150	UB	21    	4.721762395164735e-05
2.00	0.150	UB	22    	3.042273633347844e-05
2.00	0.150	UB	23    	1.960580600553399e-05
2.00	0.150	UB	24    	1.263715029213536e-05
2.00	0.150	UB	25    	8.146662639121562e-06
2.00	0.150	UB	26    	5.25250529023438e-06
2.00	0.150	UB	27    	3.386890067783669e-06
2.00	0.150	UB	28    	2.184120071354406e-06
2.00	0.150	UB	29    	1.408597114765657e-06
2.00	0.150	UB	30    	9.085041897051772e-07
2.00	0.150	UB	31    	5.859933294244402e-07
2.00	0.150	UB	32    	3.779900686115306e-07
2.00	0.150	UB	33    	2.438299238983294e-07
2.00	0.150	UB	34    	1.572931767954238e-07
2.00	0.150	UB	35    	1.014721314361042e-07
2.00	0.150	UB	36    	6.546298050877517e-08
2.00	0.150	UB	37    	4.223331846888927e-08
2.00	0.150	UB	38    	2.724731176278018e-08
2.00	0.150	UB	39    	1.757923263218845e-08
2.00	0.150	UB	40    	1.134182416953671e-08
2.00	0.175	LB	1     	0.5011092622878137
2.00	0.175	LB	2     	0.2791037142413318
2.00	0.175	LB	3     	0.1756592092819919
2.00	0.175	LB	4     	0.1130338146308386
2.00	0.175	LB	5     	0.07275417375245896
2.00	0.175	LB	6     	0.04739366823482835
2.00	0.175	LB	7     	0.03125448796020572
2.00	0.175	LB	8     	0.02074958556951833
2.00	0.175	LB	9     	0.01383161376386794
2.00	0.175	LB	10    	0.009252194810903102
2.00	0.175	LB	11    	0.006206997389676306
2.00	0.175	LB	12    	0.004173526449944199
2.00	0.175	LB	13    	0.002811302366350242
2.00	0.175	LB	14    	0.001896533086425753
2.00	0.175	LB	15    	0.001281019985180233
2.00	0.175	LB	16    	0.0008661733268716266
2.00	0.175	LB	17    	0.0005861841447024125
2.00	0.175	LB	18    	0.0003969943518784755
2.00	0.175	LB	19    	0.0002690336686164041
2.00	0.175	LB	20    	0.0001824148766678484
2.00	0.175	LB	21    	0.000123740327628355
2.00	0.175	LB	22    	8.397139033374308e-05
2.00	0.175	LB	23    	5.700287650838723e-05
2.00	0.175	LB	24    	3.870682643128388e-05
2.00	0.175	LB	25    	2.628977247339216e-05
2.00	0.175	LB	26    	1.785994881973198e-05
2.00	0.175	LB	27    	1.213543852562704e-05
2.00	0.175	LB	28    	8.247116738890641e-06
2.00	0.175	LB	29    	5.605459342441913e-06
2.00	0.175	LB	30    	3.810438040959213e-06
2.00	0.175	LB	31    	2.590517434100547e-06
2.00	0.175	LB	32    	1.76132796277874e-06
2.00	0.175	LB	33    	1.197652911711922e-06
2.00	0.175	LB	34    	8.144310890495769e-07
2.00	0.175	LB	35    	5.538682692912011e-07
2.00	0.175	LB	36    	3.766899470095104e-07
2.00	0.175	LB	37    	2.562028879741299e-07
2.00	0.175	LB	38    	1.742624673806377e-07
2.00	0.175	LB	39    	1.185335396751706e-07
2.00	0.175	LB	40    	8.062953986143164e-08
2.00	0.175	UB	1     	0.5576421071520821
2.00	0.175	UB	2     	0.332157150066627
2.00	0.175	UB	3     	0.2179819711989893
2.00	0.175	UB	4     	0.1455141271656794
2.00	0.175	UB	5     	0.09773395784561204
2.00	0.175	UB	6     	0.0663556412402211
2.00	0.175	UB	7     	0.04540824733340356
2.00	0.175	UB	8     	0.03122186285950465
2.00	0.175	UB	9     	0.02154449164308942
2.00	0.175	UB	10    	0.01490991926018648
2.00	0.175	UB	11    	0.01034219468180306
2.00	0.175	UB	12    	0.007186976454553971
2.00	0.175	UB	13    	0.005001820005271196
2.00	0.175	UB	14    	0.003485325123741155
2.00	0.175	UB	15    	0.00243108405654022
2.00	0.175	UB	16    	0.001697166406846307
2.00	0.175	UB	17    	0.001185651969030721
2.00	0.175	UB	18    	0.0008288003687485893
2.00	0.175	UB	19    	0.0005796458772267711
2.00	0.175	UB	20    	0.0004055671372769734
2.00	0.175	UB	21    	0.0002838720051776943
2.00	0.175	UB	22    	0.0001987555480851693
2.00	0.175	UB	23    	0.0001391981855792728
2.00	0.175	UB	24    	9.751001763810173e-05
2.00	0.175	UB	25    	6.832072163757422e-05
2.00	0.175	UB	26    	4.787749976383239e-05
2.00	0.175	UB	27    	3.355646962144e-05
2.00	0.175	UB	28    	2.352221754841178e-05
2.00	0.175	UB	29    	1.649035805040446e-05
2.00	0.175	UB	30    	1.156179819592198e-05
2.00	0.175	UB	31    	8.106972145332535e-06
2.00	0.175	UB	32    	5.684931469998837e-06
2.00	0.175	UB	33    	3.986767733999374e-06
2.00	0.175	UB	34    	2.796032497567082e-06
2.00	0.175	UB	35    	1.961037814208162e-06
2.00	0.175	UB	36    	1.375464820276546e-06
2.00	0.175	UB	37    	9.647846983767283e-07
2.00	0.175	UB	38    	6.767474977905213e-07
2.00	0.175	UB	39    	4.747187981427988e-07
2.00	0.175	UB	40    	3.330106535982464e-07
2.00	0.200	LB	1     	0.5644729643246759
2.00	0.200	LB	2     	0.3491672872977136
2.00	0.200	LB	3     	0.2376710166341239
2.00	0.200	LB	4     	0.1652764030440798
2.00	0.200	LB	5     	0.115338379732261
2.00	0.200	LB	6     	0.08128902209339176
2.00	0.200	LB	7     	0.05786364428451529
2.00	0.200	LB	8     	0.04144555736697457
2.00	0.200	LB	9     	0.02980748483779901
2.00	0.200	LB	10    	0.02150877098292305
2.00	0.200	LB	11    	0.01556348959823696
2.00	0.200	LB	12    	0.01128668179223367
2.00	0.200	LB	13    	0.008199994519045557
2.00	0.200	LB	14    	0.005966489836566195
2.00	0.200	LB	15    	0.004346909229922404
2.00	0.200	LB	16    	0.003170402823990458
2.00	0.200	LB	17    	0.002314466288994756
2.00	0.200	LB	18    	0.001690955337447102
2.00	0.200	LB	19    	0.001236260891702924
2.00	0.200	LB	20    	0.0009043662482898563
2.00	0.200	LB	21    	0.0006619125121718417
2.00	0.200	LB	22    	0.0004846742071458784
2.00	0.200	LB	23    	0.0003550321502475089
2.00	0.200	LB	24    	0.0002601554334482927
2.00	0.200	LB	25    	0.0001906898394027202
2.00	0.200	LB	26    	0.0001398093258622752
2.00	0.200	LB	27    	0.0001025286590520553
2.00	0.200	LB	28    	7.520441702970937e-05
2.00	0.200	LB	29    	5.51721936372584e-05
2.00	0.200	LB	30    	4.0482484949132e-05
2.00	0.200	LB	31    	2.97082012333932e-05
2.00	0.200	LB	32    	2.180424480112671e-05
2.00	0.200	LB	33    	1.600498485112726e-05
2.00	0.200	LB	34    	1.174934728967194e-05
2.00	0.200	LB	35    	8.626046772186044e-06
2.00	0.200	LB	36    	6.333522809847725e-06
2.00	0.200	LB	37    	4.650617935986999e-06
2.00	0.200	LB	38    	3.415108546390465e-06
2.00	0.200	LB	39    	2.507979454766997e-06
2.00	0.200	LB	40    	1.841901685051128e-06
2.00	0.200	UB	1     	0.6148997776459965
2.00	0.200	UB	2     	0.4008141011346533
2.00	0.200	UB	3     	0.2825584593225229
2.00	0.200	UB	4     	0.2024207842367729
2.00	0.200	UB	5     	0.1459640337698146
2.00	0.200	UB	6     	0.1062370683848047
2.00	0.200	UB	7     	0.07786842985281489
2.00	0.200	UB	8     	0.05733578390209181
2.00	0.200	UB	9     	0.04236310171552589
2.00	0.200	UB	10    	0.0313881151384711
2.00	0.200	UB	11    	0.02330892282120803
2.00	0.200	UB	12    	0.0173410316062743
2.00	0.200	UB	13    	0.01292067468409121
2.00	0.200	UB	14    	0.009639278700375066
2.00	0.200	UB	15    	0.007198890794012101
2.00	0.200	UB	16    	0.00538117896758115
2.00	0.200	UB	17    	0.004025521165302628
2.00	0.200	UB	18    	0.003013365172823581
2.00	0.200	UB	19    	0.002256974035747037
2.00	0.200	UB	20    	0.001691270772335735
2.00	0.200	UB	21    	0.001267895257623609
2.00	0.200	UB	22    	0.0009508530755606715
2.00	0.200	UB	23    	0.0007133175941700695
2.00	0.200	UB	24    	0.000535272021559863
2.00	0.200	UB	25    	0.0004017660970072294
2.00	0.200	UB	26    	0.0003016242563035897
2.00	0.200	UB	27    	0.0002264864950467895
2.00	0.200	UB	28    	0.0001700950713191989
2.00	0.200	UB	29    	0.0001277632866084264
2.00	0.200	UB	30    	9.597938729114186e-05
2.00	0.200	UB	31    	7.211090872337324e-05
2.00	0.200	UB	32    	5.418379221185817e-05
2.00	0.200	UB	33    	4.071723503185599e-05
2.00	0.200	UB	34    	3.060012675559332e-05
2.00	0.200	UB	35    	2.299854508455463e-05
2.00	0.200	UB	36    	1.728646792674103e-05
2.00	0.200	UB	37    	1.29938513760326e-05
2.00	0.200	UB	38    	9.767705546015569e-06
2.00	0.200	UB	39    	7.342904181870433e-06
2.00	0.200	UB	40    	5.520287130340124e-06
2.00	0.225	LB	1     	0.6251570880308579
2.00	0.225	LB	2     	0.4225357590290669
2.00	0.225	LB	3     	0.3077815554438082
2.00	0.225	LB	4     	0.2286085629383551
2.00	0.225	LB	5     	0.1706868864374058
2.00	0.225	LB	6     	0.1285066779927497
2.00	0.225	LB	7     	0.09753907791438184
2.00	0.225	LB	8     	0.07444667510642454
2.00	0.225	LB	9     	0.05704239118284257
2.00	0.225	LB	10    	0.04384307257542172
2.00	0.225	LB	11    	0.03378513162247173
2.00	0.225	LB	12    	0.02608991191808302
2.00	0.225	LB	13    	0.02018294645196299
2.00	0.225	LB	14    	0.01563659605539153
2.00	0.225	LB	15    	0.0121297349024809
2.00	0.225	LB	16    	0.009419640337284298
2.00	0.225	LB	17    	0.007321948725571991
2.00	0.225	LB	18    	0.005696057068224947
2.00	0.225	LB	19    	0.004434367297184427
2.00	0.225	LB	20    	0.003454299144461038
2.00	0.225	LB	21    	0.002692316566072742
2.00	0.225	LB	22    	0.00209943230578081
2.00	0.225	LB	23    	0.001637807445756897
2.00	0.225	LB	24    	0.001278168127078298
2.00	0.225	LB	25    	0.0009978357670546449
2.00	0.225	LB	26    	0.0007792202343870214
2.00	0.225	LB	27    	0.0006086639565469336
2.00	0.225	LB	28    	0.0004755530855612483
2.00	0.225	LB	29    	0.0003716325870934444
2.00	0.225	LB	30    	0.0002904775048150939
2.00	0.225	LB	31    	0.0002270841404718001
2.00	0.225	LB	32    	0.0001775535151038023
2.00	0.225	LB	33    	0.000138845984011138
2.00	0.225	LB	34    	0.0001085908086066839
2.00	0.225	LB	35    	8.493823848274819e-05
2.00	0.225	LB	36    	6.644451891312799e-05
2.00	0.225	LB	37    	5.198242938757146e-05
2.00	0.225	LB	38    	4.067163946432077e-05
2.00	0.225	LB	39    	3.182446070178115e-05
2.00	0.225	LB	40    	2.490356930370287e-05
2.00	0.225	UB	1     	0.6694708506977168
2.00	0.225	UB	2     	0.4714444319296634
2.00	0.225	UB	3     	0.3534882579627618
2.00	0.225	UB	4     	0.2689490891464775
2.00	0.225	UB	5     	0.2059711038602554
2.00	0.225	UB	6     	0.1590002782723351
2.00	0.225	UB	7     	0.1235000510712891
2.00	0.225	UB	8     	0.09633154868803023
2.00	0.225	UB	9     	0.07538289974992332
2.00	0.225	UB	10    	0.05914508183991248
2.00	0.225	UB	11    	0.04650474280971964
2.00	0.225	UB	12    	0.03663071455069345
2.00	0.225	UB	13    	0.02889599496892188
2.00	0.225	UB	14    	0.02282310499002662
2.00	0.225	UB	15    	0.01804579782138222
2.00	0.225	UB	16    	0.01428156329417216
2.00	0.225	UB	17    	0.01131147336880784
2.00	0.225	UB	18    	0.008965218648759094
2.00	0.225	UB	19    	0.007109885829910185
2.00	0.225	UB	20    	0.005641466503552631
2.00	0.225	UB	21    	0.00447838523012318
2.00	0.225	UB	22    	0.003556536577716369
2.00	0.225	UB	23    	0.00282545978763417
2.00	0.225	UB	24    	0.002245377504936014
2.00	0.225	UB	25    	0.001784894957312077
2.00	0.225	UB	26    	0.00141920667068376
2.00	0.225	UB	27    	0.001128695004973588
2.00	0.225	UB	28    	0.0008978323650206298
2.00	0.225	UB	29    	0.0007143195651425863
2.00	0.225	UB	30    	0.000568408373188044
2.00	0.225	UB	31    	0.0004523680600718313
2.00	0.225	UB	32    	0.0003600647895659176
2.00	0.225	UB	33    	0.000286629595927577
2.00	0.225	UB	34    	0.0002281960249512652
2.00	0.225	UB	35    	0.0001816926364148344
2.00	0.225	UB	36    	0.0001446787662104263
2.00	0.225	UB	37    	0.0001152144382678456
2.00	0.225	UB	38    	9.175726155445948e-05
2.00	0.225	UB	39    	7.308066933166535e-05
2.00	0.225	UB	40    	5.820905094536305e-05
5.00	0.025	LB	1     	0.07924785143453086
5.00	0.025	LB	2     	0.007931208903945991
5.00	0.025	LB	3     	0.001813077631105583
5.00	0.025	LB	4     	0.0003266826843594199
5.00	0.025	LB	5     	4.990650222262104e-05
5.00	0.025	LB	6     	9.04812153616968e-06
5.00	0.025	LB	7     	1.735367417790203e-06
5.00	0.025	LB	8     	3.118762802084919e-07
5.00	0.025	LB	9     	5.590786995699767e-08
5.00	0.025	LB	10    	1.030003789108219e-08
5.00	0.025	LB	11    	1.893065371704513e-09
5.00	0.025	LB	12    	3.451090990838647e-10
5.00	0.025	LB	13    	6.311809425560434e-11
5.00	0.025	LB	14    	1.157771247711003e-11
5.00	0.025	LB	15    	2.120875258907901e-12
5.00	0.025	LB	16    	3.883004371611923e-13
5.00	0.025	LB	17    	7.114514530729043e-14
5.00	0.025	LB	18    	1.303754575792581e-14
5.00	0.025	LB	19    	2.38862039079775e-15
5.00	0.025	LB	20    	4.376344815583214e-16
5.00	0.025	LB	21    	8.019060358253887e-17
5.00	0.025	LB	22    	1.469371446262061e-17
5.00	0.025	LB	23    	2.692340613324159e-18
5.00	0.025	LB	24    	4.933285178317792e-19
5.00	0.025	LB	25    	9.039567917707368e-20
5.00	0.025	LB	26    	1.656370687831611e-20
5.00	0.025	LB	27    	3.035060346109102e-21
5.00	0.025	LB	28    	5.561331164917952e-22
5.00	0.025	LB	29    	1.019038584720762e-22
5.00	0.025	LB	30    	1.867249398618407e-23
5.00	0.025	LB	31    	3.421481866704414e-24
5.00	0.025	LB	32    	6.269406202356331e-25
5.00	0.025	LB	33    	1.148784575528216e-25
5.00	0.025	LB	34    	2.104993497235109e-26
5.00	0.025	LB	35    	3.857117943997288e-27
5.00	0.025	LB	36    	7.067649706466006e-28
5.00	0.025	LB	37    	1.295051318084464e-28
5.00	0.025	LB	38    	2.37300559646554e-29
5.00	0.025	LB	39    	4.348208186313161e-30
5.00	0.025	LB	40    	7.967492022026477e-31
5.00	0.025	UB	1     	0.2894888318132819
5.00	0.025	UB	2     	0.09472262489907896
5.00	0.025	UB	3     	0.03421243704604687
5.00	0.025	UB	4     	0.0126162062642542
5.00	0.025	UB	5     	0.004674259804800619
5.00	0.025	UB	6     	0.001734009910993159
5.00	0.025	UB	7     	0.0006435801657218274
5.00	0.025	UB	8     	0.0002389234776897916
5.00	0.025	UB	9     	8.870951667146911e-05
5.00	0.025	UB	10    	3.293902219065234e-05
5.00	0.025	UB	11    	1.22311314059522e-05
5.00	0.025	UB	12    	4.541829305621112e-06
5.00	0.025	UB	13    	1.68655073756352e-06
5.00	0.025	UB	14    	6.262826737007423e-07
5.00	0.025	UB	15    	2.325640967365036e-07
5.00	0.025	UB	16    	8.636059709207187e-08
5.00	0.025	UB	17    	3.206926302768388e-08
5.00	0.025	UB	18    	1.190864987347475e-08
5.00	0.025	UB	19    	4.422177639815276e-09
5.00	0.025	UB	20    	1.642138948212968e-09
5.00	0.025	UB	21    	6.097947090890115e-10
5.00	0.025	UB	22    	2.264422281600086e-10
5.00	0.025	UB	23    	8.408745281888627e-11
5.00	0.025	UB	24    	3.122518208815254e-11
5.00	0.025	UB	25    	1.159521391293389e-11
5.00	0.025	UB	26    	4.305787097950292e-12
5.00	0.025	UB	27    	1.5989185458839e-12
5.00	0.025	UB	28    	5.937452226312172e-13
5.00	0.025	UB	29    	2.204823944959538e-13
5.00	0.025	UB	30    	8.187431990187968e-14
5.00	0.025	UB	31    	3.040335386354184e-14
5.00	0.025	UB	32    	1.129003486496866e-14
5.00	0.025	UB	33    	4.192461391949602e-15
5.00	0.025	UB	34    	1.556835982678185e-15
5.00	0.025	UB	35    	5.781182103792629e-16
5.00	0.025	UB	36    	2.146794324472923e-16
5.00	0.025	UB	37    	7.971943780470452e-17
5.00	0.025	UB	38    	2.960315616389706e-17
5.00	0.025	UB	39    	1.099288804584988e-17
5.00	0.025	UB	40    	4.082118370069344e-18
5.00	0.050	LB	1     	0.1571298797963784
5.00	0.050	LB	2     	0.03051675101344982
5.00	0.050	LB	3     	0.009456622676127045
5.00	0.050	LB	4     	0.00281684923219917
5.00	0.050	LB	5     	0.0007728474817268986
5.00	0.050	LB	6     	0.0002242964987985011
5.00	0.050	LB	7     	6.815823192506197e-05
5.00	0.050	LB	8     	2.054879806408999e-05
5.00	0.050	LB	9     	6.159187386194687e-06
5.00	0.050	LB	10    	1.859096749079544e-06
5.00	0.050	LB	11    	5.635164479050583e-07
5.00	0.050	LB	12    	1.707609879910928e-07
5.00	0.050	LB	13    	5.175611313570088e-08
5.00	0.050	LB	14    	1.57039815966905e-08
5.00	0.050	LB	15    	4.767948153351217e-09
5.00	0.050	LB	16    	1.4478998415173e-09
5.00	0.050	LB	17    	4.397783681678598e-10
5.00	0.050	LB	18    	1.33605617122432e-10
5.00	0.050	LB	19    	4.05953359487726e-11
5.00	0.050	LB	20    	1.233569616858372e-11
5.00	0.050	LB	21    	3.748704125163958e-12
5.00	0.050	LB	22    	1.139261407616941e-12
5.00	0.050	LB	23    	3.462447252951566e-13
5.00	0.050	LB	24    	1.052338838137467e-13
5.00	0.050	LB	25    	3.198438070247843e-14
5.00	0.050	LB	26    	9.721381248543984e-15
5.00	0.050	LB	27    	2.954770403392408e-15
5.00	0.050	LB	28    	8.980982061717259e-16
5.00	0.050	LB	29    	2.729777454422297e-16
5.00	0.050	LB	30    	8.297231373865657e-17
5.00	0.050	LB	31    	2.521976822419267e-17
5.00	0.050	LB	32    	7.665675883796179e-18
5.00	0.050	LB	33    	2.330026917933974e-18
5.00	0.050	LB	34    	7.082266686759066e-19
5.00	0.050	LB	35    	2.152703673453832e-19
5.00	0.050	LB	36    	6.543297894659757e-20
5.00	0.050	LB	37    	1.988884009151269e-20
5.00	0.050	LB	38    	6.045363487183441e-21
5.00	0.050	LB	39    	1.837534371592084e-21
5.00	0.050	LB	40    	5.585325857037088e-22
5.00	0.050	UB	1     	0.3554622748852647
5.00	0.050	UB	2     	0.1399523744230804
5.00	0.050	UB	3     	0.06125037793746053
5.00	0.050	UB	4     	0.02725529134819173
5.00	0.050	UB	5     	0.0121809506921095
5.00	0.050	UB	6     	0.005458432218861449
5.00	0.050	UB	7     	0.002450007905120529
5.00	0.050	UB	8     	0.001100854582400958
5.00	0.050	UB	9     	0.0004949860189597994
5.00	0.050	UB	10    	0.0002226642844585111
5.00	0.050	UB	11    	0.0001001924393078152
5.00	0.050	UB	12    	4.509229049741321e-05
5.00	0.050	UB	13    	2.029664029878279e-05
5.00	0.050	UB	14    	9.136544333132073e-06
5.00	0.050	UB	15    	4.113045975218272e-06
5.00	0.050	UB	16    	1.851658727865687e-06
5.00	0.050	UB	17    	8.336213521467313e-07
5.00	0.050	UB	18    	3.753044512981336e-07
5.00	0.050	UB	19    	1.689675392021899e-07
5.00	0.050	UB	20    	7.607219969752461e-08
5.00	0.050	UB	21    	3.424922662230619e-08
5.00	0.050	UB	22    	1.541973724843293e-08
5.00	0.050	UB	23    	6.94231195839695e-09
5.00	0.050	UB	24    	3.125589321780752e-09
5.00	0.050	UB	25    	1.407213955384561e-09
5.00	0.050	UB	26    	6.335613008749615e-10
5.00	0.050	UB	27    	2.852445436872013e-10
5.00	0.050	UB	28    	1.284239967163452e-10
5.00	0.050	UB	29    	5.781960315508879e-11
5.00	0.050	UB	30    	2.603179357772708e-11
5.00	0.050	UB	31    	1.17201485915174e-11
5.00	0.050	UB	32    	5.276697178845572e-12
5.00	0.050	UB	33    	2.375698063639781e-12
5.00	0.050	UB	34    	1.069597375522949e-12
5.00	0.050	UB	35    	4.815589092746074e-13
5.00	0.050	UB	36    	2.168096065942721e-13
5.00	0.050	UB	37    	9.761299195612832e-14
5.00	0.050	UB	38    	4.394775862021379e-14
5.00	0.050	UB	39    	1.978635688835125e-14
5.00	0.050	UB	40    	8.90830231871362e-15
5.00	0.075	LB	1     	0.2334679600539606
5.00	0.075	LB	2     	0.06598081411326857
5.00	0.075	LB	3     	0.02547923550469378
5.00	0.075	LB	4     	0.009973218566406568
5.00	0.075	LB	5     	0.003748897131792987
5.00	0.075	LB	6     	0.001446641654791795
5.00	0.075	LB	7     	0.0005758581677071938
5.00	0.075	LB	8     	0.0002304755594171866
5.00	0.075	LB	9     	9.219825950658808e-05
5.00	0.075	LB	10    	3.700885397503976e-05
5.00	0.075	LB	11    	1.490799162384405e-05
5.00	0.075	LB	12    	6.014945069744452e-06
5.00	0.075	LB	13    	2.429076981916335e-06
5.00	0.075	LB	14    	9.818851710265252e-07
5.00	0.075	LB	15    	3.972189846093456e-07
5.00	0.075	LB	16    	1.607838265898519e-07
5.00	0.075	LB	17    	6.510761236026098e-08
5.00	0.075	LB	18    	2.637323442695915e-08
5.00	0.075	LB	19    	1.068580839658741e-08
5.00	0.075	LB	20    	4.330490628155934e-09
5.00	0.075	LB	21    	1.755225780108943e-09
5.00	0.075	LB	22    	7.115101167649284e-10
5.00	0.075	LB	23    	2.884499651428626e-10
5.00	0.075	LB	24    	1.169479295848582e-10
5.00	0.075	LB	25    	4.741769848443506e-11
5.00	0.075	LB	26    	1.922689053502546e-11
5.00	0.075	LB	27    	7.796400618471332e-12
5.00	0.075	LB	28    	3.161494672758347e-12
5.00	0.075	LB	29    	1.282039345586498e-12
5.00	0.075	LB	30    	5.198987340835443e-13
5.00	0.075	LB	31    	2.108351447537356e-13
5.00	0.075	LB	32    	8.550130797292739e-14
5.00	0.075	LB	33    	3.467423955585346e-14
5.00	0.075	LB	34    	1.406192268684888e-14
5.00	0.075	LB	35    	5.702763285370955e-15
5.00	0.075	LB	36    	2.312747916261991e-15
5.00	0.075	LB	37    	9.379357827289917e-16
5.00	0.075	LB	38    	3.803814970363784e-16
5.00	0.075	LB	39    	1.542647912951904e-16
5.00	0.075	LB	40    	6.256264957558836e-17
5.00	0.075	UB	1     	0.419036734087967
5.00	0.075	UB	2     	0.1917797359501768
5.00	0.075	UB	3     	0.09711073699267732
5.00	0.075	UB	4     	0.04991661028313751
5.00	0.075	UB	5     	0.02578745894137022
5.00	0.075	UB	6     	0.0133788614434751
5.00	0.075	UB	7     	0.006960418292173305
5.00	0.075	UB	8     	0.003628059964208462
5.00	0.075	UB	9     	0.001893627205122284
5.00	0.075	UB	10    	0.0009892925658791041
5.00	0.075	UB	11    	0.0005171856002707653
5.00	0.075	UB	12    	0.000270505785100911
5.00	0.075	UB	13    	0.0001415326415864669
5.00	0.075	UB	14    	7.407045412605456e-05
5.00	0.075	UB	15    	3.877144876150836e-05
5.00	0.075	UB	16    	2.029720950641712e-05
5.00	0.075	UB	17    	1.062680021812694e-05
5.00	0.075	UB	18    	5.564157385578598e-06
5.00	0.075	UB	19    	2.913525855864572e-06
5.00	0.075	UB	20    	1.525650280860151e-06
5.00	0.075	UB	21    	7.989202115734966e-07
5.00	0.075	UB	22    	4.183703782402497e-07
5.00	0.075	UB	23    	2.190913337316161e-07
5.00	0.075	UB	24    	1.147346212451816e-07
5.00	0.075	UB	25    	6.008519912931801e-08
5.00	0.075	UB	26    	3.146612784753557e-08
5.00	0.075	UB	27    	1.647863271324e-08
5.00	0.075	UB	28    	8.629797260235041e-09
5.00	0.075	UB	29    	4.519404032000516e-09
5.00	0.075	UB	30    	2.366805718289e-09
5.00	0.075	UB	31    	1.239494770825103e-09
5.00	0.075	UB	32    	6.491234123074513e-10
5.00	0.075	UB	33    	3.399462163427973e-10
5.00	0.075	UB	34    	1.780300948499344e-10
5.00	0.075	UB	35    	9.323454154519253e-11
5.00	0.075	UB	36    	4.88270414376806e-11
5.00	0.075	UB	37    	2.557078708217132e-11
5.00	0.075	UB	38    	1.339145816883811e-11
5.00	0.075	UB	39    	7.013127062268773e-12
5.00	0.075	UB	40    	3.67278575208963e-12
5.00	0.100	LB	1     	0.3080693835083719
5.00	0.100	LB	2     	0.1125915515503317
5.00	0.100	LB	3     	0.05152018172780808
5.00	0.100	LB	4     	0.02429341594366724
5.00	0.100	LB	5     	0.01125204182584946
5.00	0.100	LB	6     	0.005294632505914425
5.00	0.100	LB	7     	0.002546281132296563
5.00	0.100	LB	8     	0.001235102232343317
5.00	0.100	LB	9     	0.0006007086945493003
5.00	0.100	LB	10    	0.0002930650290679914
5.00	0.100	LB	11    	0.0001434200241234917
5.00	0.100	LB	12    	7.033601512983753e-05
5.00	0.100	LB	13    	3.454350039235799e-05
5.00	0.100	LB	14    	1.698461654734188e-05
5.00	0.100	LB	15    	8.359171403841945e-06
5.00	0.100	LB	16    	4.117196944865098e-06
5.00	0.100	LB	17    	2.029077643544851e-06
5.00	0.100	LB	18    	1.000465260298803e-06
5.00	0.100	LB	19    	4.934824306983518e-07
5.00	0.100	LB	20    	2.434866902820727e-07
5.00	0.100	LB	21    	1.201673744330667e-07
5.00	0.100	LB	22    	5.9317833082214e-08
5.00	0.100	LB	23    	2.928567012298384e-08
5.00	0.100	LB	24    	1.446049884575329e-08
5.00	0.100	LB	25    	7.141002058394043e-09
5.00	0.100	LB	26    	3.526747552756268e-09
5.00	0.100	LB	27    	1.741895376289991e-09
5.00	0.100	LB	28    	8.603925471617849e-10
5.00	0.100	LB	29    	4.250044782859456e-10
5.00	0.100	LB	30    	2.099466231766856e-10
5.00	0.100	LB	31    	1.0371455134303e-10
