Delta [slots]	Adversarial Stake [%/100]	Bound	Number of Blocks	Probability of Failure
0.01	0.050	UB	39    	1.565607756949797e-22
0.01	0.050	UB	40    	4.461827527477167e-23
0.01	0.075	LB	1     	0.2189533658844136
0.01	0.075	LB	2     	0.05604724288403807
0.01	0.075	LB	3     	0.02180299989911567
0.01	0.075	LB	4     	0.007912654174343305
0.01	0.075	LB	5     	0.002696462965163303
0.01	0.075	LB	6     	0.000991642906042179
0.01	0.075	LB	7     	0.0003761184779237447
0.01	0.075	LB	8     	0.0001402983467289086
0.01	0.075	LB	9     	5.242548031876011e-05
0.01	0.075	LB	10    	1.979159123207333e-05
0.01	0.075	LB	11    	7.48136596449934e-06
0.01	0.075	LB	12    	2.825889905045227e-06
0.01	0.075	LB	13    	1.069180194393976e-06
0.01	0.075	LB	14    	4.050782188323653e-07
0.01	0.075	LB	15    	1.53519451471008e-07
0.01	0.075	LB	16    	5.820032639810012e-08
0.01	0.075	LB	17    	2.20737192746391e-08
0.01	0.075	LB	18    	8.374138770622076e-09
0.01	0.075	LB	19    	3.177384054512777e-09
0.01	0.075	LB	20    	1.205759105172247e-09
0.01	0.075	LB	21    	4.576176708489611e-10
0.01	0.075	LB	22    	1.736921548240746e-10
0.01	0.075	LB	23    	6.593018202538673e-11
0.01	0.075	LB	24    	2.502709756681523e-11
0.01	0.075	LB	25    	9.500661571198389e-12
0.01	0.075	LB	26    	3.606701141180122e-12
0.01	0.075	LB	27    	1.369230857352575e-12
0.01	0.075	LB	28    	5.198179805221686e-13
0.01	0.075	LB	29    	1.973477650452089e-13
0.01	0.075	LB	30    	7.492349698628165e-14
0.01	0.075	LB	31    	2.844511816691778e-14
0.01	0.075	LB	32    	1.079942149942732e-14
0.01	0.075	LB	33    	4.100111086064702e-15
0.01	0.075	LB	34    	1.556655868903913e-15
0.01	0.075	LB	35    	5.910048455531314e-16
0.01	0.075	LB	36    	2.243833153742363e-16
0.01	0.075	LB	37    	8.519044348500103e-17
0.01	0.075	LB	38    	3.234385255171345e-17
0.01	0.075	LB	39    	1.227984690483619e-17
0.01	0.075	LB	40    	4.662236502682142e-18
0.01	0.075	UB	1     	0.2193730922152005
0.01	0.075	UB	2     	0.0562169213478839
0.01	0.075	UB	3     	0.02186423522762344
0.01	0.075	UB	4     	0.007939005999948229
0.01	0.075	UB	5     	0.002708417604291098
0.01	0.075	UB	6     	0.0009966204688390636
0.01	0.075	UB	7     	0.0003781349212778
0.01	0.075	UB	8     	0.0001411332156735061
0.01	0.075	UB	9     	5.277036561103594e-05
0.01	0.075	UB	10    	1.993202675398696e-05
0.01	0.075	UB	11    	7.538340859204872e-06
0.01	0.075	UB	12    	2.848987907092444e-06
0.01	0.075	UB	13    	1.078505245401119e-06
0.01	0.075	UB	14    	4.088274615008328e-07
0.01	0.075	UB	15    	1.550229762387991e-07
0.01	0.075	UB	16    	5.880179453098329e-08
0.01	0.075	UB	17    	2.23137100644238e-08
0.01	0.075	UB	18    	8.469679818452144e-09
0.01	0.075	UB	19    	3.215343488319336e-09
0.01	0.075	UB	20    	1.220812456434111e-09
0.01	0.075	UB	21    	4.635768038051866e-10
0.01	0.075	UB	22    	1.760473817865945e-10
0.01	0.075	UB	23    	6.685964856989197e-11
0.01	0.075	UB	24    	2.539339046414677e-11
0.01	0.075	UB	25    	9.644825897371935e-12
0.01	0.075	UB	26    	3.663371974558645e-12
0.01	0.075	UB	27    	1.391482776695204e-12
0.01	0.075	UB	28    	5.28545924680683e-13
0.01	0.075	UB	29    	2.007677264310352e-13
0.01	0.075	UB	30    	7.626231316986016e-14
0.01	0.075	UB	31    	2.896876047673423e-14
0.01	0.075	UB	32    	1.100405849697827e-14
0.01	0.075	UB	33    	4.180018882042252e-15
0.01	0.075	UB	34    	1.587835292277143e-15
0.01	0.075	UB	35    	6.03162166639142e-16
0.01	0.075	UB	36    	2.291204340004288e-16
0.01	0.075	UB	37    	8.703508395721073e-17
0.01	0.075	UB	38    	3.30617192212562e-17
0.01	0.075	UB	39    	1.25590517569545e-17
0.01	0.075	UB	40    	4.770769278657503e-18
0.01	0.100	LB	1     	0.2889333189996316
0.01	0.100	LB	2     	0.09621122537726146
0.01	0.100	LB	3     	0.04345070436182275
0.01	0.100	LB	4     	0.01916176807764378
0.01	0.100	LB	5     	0.008143521781221796
0.01	0.100	LB	6     	0.003623026441055867
0.01	0.100	LB	7     	0.001654191171520078
0.01	0.100	LB	8     	0.0007525426610856907
0.01	0.100	LB	9     	0.0003429075618846164
0.01	0.100	LB	10    	0.0001572550463640148
0.01	0.100	LB	11    	7.231326606027902e-05
0.01	0.100	LB	12    	3.328112384239518e-05
0.01	0.100	LB	13    	1.533805402936451e-05
0.01	0.100	LB	14    	7.077897414428178e-06
0.01	0.100	LB	15    	3.268700236224702e-06
0.01	0.100	LB	16    	1.510394138396204e-06
0.01	0.100	LB	17    	6.982695413758921e-07
0.01	0.100	LB	18    	3.229433237420547e-07
0.01	0.100	LB	19    	1.494016420883571e-07
0.01	0.100	LB	20    	6.913283222665249e-08
0.01	0.100	LB	21    	3.199591517674726e-08
0.01	0.100	LB	22    	1.481047693566497e-08
0.01	0.100	LB	23    	6.856375655399209e-09
0.01	0.100	LB	24    	3.174398108414468e-09
0.01	0.100	LB	25    	1.469811149293762e-09
0.01	0.100	LB	26    	6.805947541502986e-10
0.01	0.100	LB	27    	3.151646111496722e-10
0.01	0.100	LB	28    	1.459499673543136e-10
0.01	0.100	LB	29    	6.75903914628156e-11
0.01	0.100	LB	30    	3.130240072760973e-11
0.01	0.100	LB	31    	1.449705860156663e-11
0.01	0.100	LB	32    	6.714133157597135e-12
0.01	0.100	LB	33    	3.109613290495064e-12
0.01	0.100	LB	34    	1.440217309411186e-12
0.01	0.100	LB	35    	6.670431320990011e-13
0.01	0.100	LB	36    	3.08946487301277e-13
0.01	0.100	LB	37    	1.430920143272807e-13
0.01	0.100	LB	38    	6.627500444728938e-14
0.01	0.100	LB	39    	3.069629011061054e-14
0.01	0.100	LB	40    	1.421750414725678e-14
0.01	0.100	UB	1     	0.2893243293251607
0.01	0.100	UB	2     	0.09641475409469406
0.01	0.100	UB	3     	0.04354524171947777
0.01	0.100	UB	4     	0.01921008848980663
0.01	0.100	UB	5     	0.008169579412077792
0.01	0.100	UB	6     	0.003636371223811215
0.01	0.100	UB	7     	0.001660813987566799
0.01	0.100	UB	8     	0.000755853848590593
0.01	0.100	UB	9     	0.0003445647138791409
0.01	0.100	UB	10    	0.00015807699656131
0.01	0.100	UB	11    	7.27189078237694e-05
0.01	0.100	UB	12    	3.34809308134064e-05
0.01	0.100	UB	13    	1.543618244619682e-05
0.01	0.100	UB	14    	7.125927959698439e-06
0.01	0.100	UB	15    	3.292146641038283e-06
0.01	0.100	UB	16    	1.521813136786284e-06
0.01	0.100	UB	17    	7.038183850431841e-07
0.01	0.100	UB	18    	3.256340554878537e-07
0.01	0.100	UB	19    	1.507039683506223e-07
0.01	0.100	UB	20    	6.976206792518917e-08
0.01	0.100	UB	21    	3.229944502367707e-08
0.01	0.100	UB	22    	1.495667232960343e-08
0.01	0.100	UB	23    	6.926691930416243e-09
0.01	0.100	UB	24    	3.208174077606992e-09
0.01	0.100	UB	25    	1.486015283158104e-09
0.01	0.100	UB	26    	6.883597874823426e-10
0.01	0.100	UB	27    	3.188815969682094e-10
0.01	0.100	UB	28    	1.477274136372368e-10
0.01	0.100	UB	29    	6.843954401946889e-11
0.01	0.100	UB	30    	3.170770598177618e-11
0.01	0.100	UB	31    	1.469034788170732e-11
0.01	0.100	UB	32    	6.80623798334532e-12
0.01	0.100	UB	33    	3.153468846700175e-12
0.01	0.100	UB	34    	1.4610839071584e-12
0.01	0.100	UB	35    	6.769646781869621e-13
0.01	0.100	UB	36    	3.13660844874421e-13
0.01	0.100	UB	37    	1.453307090072207e-13
0.01	0.100	UB	38    	6.733745609169208e-14
0.01	0.100	UB	39    	3.120022838408894e-14
0.01	0.100	UB	40    	1.445640103324061e-14
0.01	0.125	LB	1     	0.3571964132836268
0.01	0.125	LB	2     	0.1449979579979009
0.01	0.125	LB	3     	0.07409641668329936
0.01	0.125	LB	4     	0.03779844061192199
0.01	0.125	LB	5     	0.01889021215561753
0.01	0.125	LB	6     	0.009730211754115864
0.01	0.125	LB	7     	0.005117702969626896
0.01	0.125	LB	8     	0.002697529521058003
0.01	0.125	LB	9     	0.00142545715785789
0.01	0.125	LB	10    	0.0007568840912311192
0.01	0.125	LB	11    	0.0004031080673031818
0.01	0.125	LB	12    	0.0002150420252720514
0.01	0.125	LB	13    	0.0001148875891976882
0.01	0.125	LB	14    	6.146149048809312e-05
0.01	0.125	LB	15    	3.291291744737146e-05
0.01	0.125	LB	16    	1.763847851969072e-05
0.01	0.125	LB	17    	9.458642016866426e-06
0.01	0.125	LB	18    	5.074792642873737e-06
0.01	0.125	LB	19    	2.723858976165396e-06
0.01	0.125	LB	20    	1.462492903454347e-06
0.01	0.125	LB	21    	7.854523424940628e-07
0.01	0.125	LB	22    	4.21931273519317e-07
0.01	0.125	LB	23    	2.2669515826647e-07
0.01	0.125	LB	24    	1.218169425318586e-07
0.01	0.125	LB	25    	6.546767974951517e-08
0.01	0.125	LB	26    	3.518770067520825e-08
0.01	0.125	LB	27    	1.89143762273901e-08
0.01	0.125	LB	28    	1.016773433193967e-08
0.01	0.125	LB	29    	5.466159472985722e-09
0.01	0.125	LB	30    	2.938746501522719e-09
0.01	0.125	LB	31    	1.580011198327765e-09
0.01	0.125	LB	32    	8.495197849109529e-10
0.01	0.125	LB	33    	4.567722229738253e-10
0.01	0.125	LB	34    	2.456047085156794e-10
0.01	0.125	LB	35    	1.320634965111514e-10
0.01	0.125	LB	36    	7.101278577627203e-11
0.01	0.125	LB	37    	3.818534691262333e-11
0.01	0.125	LB	38    	2.053346873497668e-11
0.01	0.125	LB	39    	1.10416099206942e-11
0.01	0.125	LB	40    	5.937535354633464e-12
